student_id,name,gpa,math_grade,science_grade,interest_stem,interest_arts,gender,socioeconomic_status
1,Kerri Beelby,3.43,89,95,Yes,No,Female,middle income
2,Livvyy Fahy,0.98,100,85,Yes,No,Female,high income
3,Kendal Peplow,0.84,81,76,Yes,No,Male,low income
4,Packston McRannell,0.06,97,76,No,Yes,Male,high income
5,Alexa Scarce,3.7,93,87,Yes,No,Female,middle income
6,Demetris Ashurst,2.7,94,79,Yes,Yes,Male,high income
7,Holly-anne Bainton,0.7,99,90,No,Yes,Female,high income
8,Malachi Auston,2.3,95,100,No,No,Genderfluid,high income
9,Marie-ann Feldharker,0.95,96,80,Yes,Yes,Female,middle income
10,Marcile Kubalek,1.19,84,92,Yes,No,Female,high income
11,Lucina Menco,2.26,82,95,Yes,No,Female,low income
12,Lark Gerhartz,3.06,75,100,No,Yes,Female,low income
13,Chaunce Pullen,1.23,98,96,No,Yes,Male,middle income
14,Kaycee Zanetello,2.38,75,79,No,Yes,Female,middle income
15,Astra Tregenza,1.92,97,98,No,Yes,Female,middle income
16,Flinn McRorie,0.69,83,77,Yes,No,Male,high income
17,Octavius Adicot,3.82,76,80,Yes,Yes,Male,low income
18,Karrie Mattersley,1.09,85,93,No,No,Female,low income
19,Cassy Wileman,1.28,84,75,Yes,No,Genderfluid,high income
20,Violetta Gillibrand,1.57,91,76,Yes,Yes,Female,middle income
21,Estella Cortez,0.9,86,99,No,Yes,Female,high income
22,Gregorio Hymer,0.69,76,90,No,No,Male,low income
23,Jorge Aindriu,3.45,80,87,Yes,No,Male,middle income
24,Inez Finlayson,2.73,91,81,Yes,No,Female,middle income
25,Fowler Goodlet,3.95,77,98,Yes,Yes,Male,high income
26,Gabriela Hakewell,2.22,81,91,No,Yes,Female,high income
27,Bernardina Izatson,0.42,92,92,Yes,Yes,Female,middle income
28,Delmar Joyes,3.84,83,78,No,Yes,Male,high income
29,Bordie Michelet,1.39,92,89,No,No,Male,low income
30,Nilson Aleksandrov,3.78,88,78,No,Yes,Male,low income
31,Wesley Stampfer,0.96,78,77,Yes,Yes,Male,middle income
32,Blinny Grimsley,0.93,99,77,No,No,Non-binary,middle income
33,Anthony Ball,3.32,80,79,No,Yes,Agender,low income
34,Maddalena McCowan,0.16,80,76,No,Yes,Female,middle income
35,Natale Bainton,1.39,82,77,No,No,Polygender,high income
36,Dido Korneichik,3.41,99,81,Yes,Yes,Female,low income
